"MATRIZ DE RIESGOS","","","","","","LEYENDA","","","","","","",""
"","","","","","","","","","GRAVEDAD (IMPACTO)","","","",""
"RIESGO","","","","","","","","","MUY BAJO 1","BAJO         2","MEDIO        3","ALTO      4","MUY ALTO 5"
"Almacenamiento de evidencias PDF como BYTEA en PostgreSQL satura la base de datos","4","5","20","Muy grave","","APARICIÓN (probabilidad)","MUY ALTA","5","5","10","15","20","25"
"CORS habilitado sin restricción de orígenes en producción","4","4","16","Muy grave","","","ALTA","4","4","8","12","16","20"
"Inyección de archivos maliciosos disfrazados como PDF","3","4","12","Importante","","","MEDIA","3","3","6","9","12","15"
"Secreto JWT débil o expuesto compromete todas las sesiones","3","5","15","Muy grave","","","BAJA","2","2","4","6","8","12"
"Cálculo incorrecto de promedios ponderados afecta calificaciones oficiales","3","5","15","Muy grave","","","MUY BAJA","1","1","2","3","4","5"
"Falta de pruebas automatizadas en módulos críticos","5","4","20","Muy grave","","","","","","","","",""
"Dependencia de next-auth en versión beta inestable","3","4","12","Importante","","","","","","","","",""
"Escalamiento horizontal limitado por estado en memoria del Cron Job","2","3","6","Apreciable","","","","","","","","",""
"Ausencia de rate limiting específico en endpoint de login permite ataques de fuerza bruta","4","4","16","Muy grave","","","","","","","","",""
"Pérdida de datos por ausencia de estrategia de respaldos de PostgreSQL","3","5","15","Muy grave","","","","","","","","",""
"Validación de plazo de entrega solo en frontend permite entregas fuera de fecha","4","3","12","Importante","","","","","","","","",""
"Desnormalización en tabla evidencias genera inconsistencias de datos","3","3","9","Importante","","","","","","","","",""
"Configuración SMTP sin credenciales bloquea recuperación de contraseña","4","3","12","Importante","","","","","","","","",""
"Cronograma agresivo de 29 días para 501 Puntos de Función genera deuda técnica","5","3","15","Muy grave","","","","","","","","",""
"Exposición de Swagger en producción revela estructura completa del API","3","3","9","Importante","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
