"","MATRIZ RACI - SISTEMA EVALTRACK","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","Docente Tutor","","Líder de Proyecto(Luis Cueva, Bryan Quispe)","","","Dev. Backend","Dev. Frontend","Arquitecto / DBA","QA","","Administrador","Profesor","Estudiante","",""," Rol 1"," Rol 2"," Rol 3"," Rol 4"," Rol 5","","","","","",""
"","PRIORIDAD","ESTADO","RESULTADO/ACTIVIDAD DEL PROYECTO","Liderazgo de proyectos","","","","","Miembros del equipo del proyecto","","","","","Usuarios Finales","","","","","Otro","","","","","","","","","",""
"","","","FASE 1: Análisis y Definicion de Requisitos","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Baja","Aprobado","Reunión inicial con stakeholders de la unidad educativa institucional","C","","A","","","I","I","","","","R","R","I","","","","","","","","","","","","",""
"","Media","Aprobado","Identificar requisitos funcionales del sistema","C","","A","","","R","I","","","","R","C","C","","","","","","","","","","","","",""
"","Alta","Aprobado","Documentar Historias de Usuario y Puntos de Función","I","","R","","","R","I","","","","C","C","I","","","","","","","","","","","","",""
"","Media","Aprobado","	Validar requisitos con usuarios finales","C","","A","","","C","I","","","","R","R","C","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","FASE 2: Diseño del Sistema","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Alta","Completo","Diseño del esquema de base de datos (Prisma / PostgreSQL)","I","","A","","","C","I","R","","","","","","","","","","","","","","","","","",""
"","Alta","Completo","Diseño de arquitectura del sistema (NestJS + Next.js)","C","","A","","","R","C","R","","","","","","","","","","","","","","","","","",""
"","Media","Completo","Diseño de interfaces de usuario (UI/UX — Tailwind CSS)","I","","A","","","I","R","","","","C","C","C","","","","","","","","","","R","A","C","I"
"","Media","Aprobado","Revisión y aprobación del diseño técnico","R","","A","","","I","I","I","I","","C","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","FASE 3:Desarrollo (Sprints 1 – 6)","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Alta","Completo","Sprint 1 — Autenticación JWT y Gestión de Usuarios (CRUD + roles)
","I","","A","","","R","R","C","I","","I","","","","","","","","","","","","","","",""
"","Alta","Completo","Sprint 2 — Años Lectivos, Cursos y Materias (Configuración Académica)
","I","","A","","","R","R","C","I","","I","","","","","","","","","","","","","","",""
"","Alta","Completo","Sprint 3 — Matrículas, Traslados y Dashboard por rol
","I","","A","","","R","R","C","I","","I","I","","","","","","","","","","","","","",""
"","Alta","Completo","Sprint 4 — Actividades por Parcial y Evidencias PDF","I","","A","","","R","R","C","I","","I","R","I","","","","","","","","","","","","",""
"","Alta","Completo","Sprint 5 — Calificaciones ponderadas y Promedios automáticos","I","","A","","","R","R","C","I","","I","R","I","","","","","","","","","","","","",""
"","Media","Completo","Sprint 6 — Reportes PDF y descarga de boletines de notas","I","","A","","","R","R","I","I","","I","I","I","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","FASE 4: Pruebas","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Alta","Completo","Pruebas unitarias del backend (endpoints NestJS)","I","","A","","","R","C","C","R","","","","","","","","","","","","","","","","",""
"","Alta","Completo","Pruebas de integración (API + Base de datos)","C","","A","","","R","C","R","R","","","","","","","","","","","","","","","","",""
"","Alta","Completo","Pruebas de aceptación con los 3 roles (Admin / Profesor / Estudiante)","C","","A","","","C","C","","R","","R","R","R","","","","","","","","","","","","",""
"","Media","Completo","Corrección de bugs y ajustes finales del sistema","I","","A","","","R","R","C","R","","I","I","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","FASE 5: Implementación y Cierre","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Alta","Completo","Entrega final del sistema","R","","A","","","I","I","I","I","","C","I","I","","","","","","","","","","","","",""
"","Media","Completo","Capacitación a usuarios del sistema (3 roles)","C","","R","","","I","C","","I","","A","A","C","","","","","","","","","","","","",""
"","Baja","Completo","Redacción y entrega de documentación técnica (Manual de Usuario)","R","","A","","","I","I","I","I","","C","I","I","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
